,time,open,high,low,close,tick_volume,spread,real_volume
2366,2023-09-21 12:00:00,1922.99,1923.23,1922.49,1922.59,901,26,0
2367,2023-09-21 12:15:00,1922.58,1923.06,1922.38,1922.56,1119,29,0
2368,2023-09-21 12:30:00,1922.56,1924.23,1922.56,1924.05,797,27,0
2369,2023-09-21 12:45:00,1924.09,1924.65,1923.77,1924.6,705,27,0
2370,2023-09-21 13:00:00,1924.6,1924.66,1923.6,1924.65,870,29,0
2371,2023-09-21 13:15:00,1924.66,1925.34,1924.59,1925.33,814,30,0
2372,2023-09-21 13:30:00,1925.33,1925.98,1924.96,1925.45,967,29,0
2373,2023-09-21 13:45:00,1925.44,1925.46,1924.27,1925.1,717,30,0
2374,2023-09-21 14:00:00,1924.98,1925.2,1922.58,1922.97,2042,27,0
2375,2023-09-21 14:15:00,1922.96,1922.96,1920.46,1921.22,1559,26,0
2376,2023-09-21 14:30:00,1921.21,1921.66,1920.49,1921.21,1583,26,0
2377,2023-09-21 14:45:00,1921.25,1922.2,1920.1,1920.65,1459,26,0
2378,2023-09-21 15:00:00,1920.65,1920.65,1917.82,1918.37,1665,29,0
2379,2023-09-21 15:15:00,1918.38,1918.49,1915.35,1917.86,2398,26,0
2380,2023-09-21 15:30:00,1917.75,1917.75,1914.71,1915.43,3923,26,0
2381,2023-09-21 15:45:00,1915.39,1916.99,1914.04,1916.3,3091,29,0
2382,2023-09-21 16:00:00,1916.36,1917.94,1913.77,1915.27,3200,26,0
2383,2023-09-21 16:15:00,1915.23,1917.27,1914.23,1917.16,2781,26,0
2384,2023-09-21 16:30:00,1917.17,1917.97,1915.4,1916.57,3442,26,0
2385,2023-09-21 16:45:00,1916.57,1918.78,1915.07,1916.36,3250,26,0
2386,2023-09-21 17:00:00,1916.33,1921.49,1915.09,1920.23,3766,26,0
2387,2023-09-21 17:15:00,1920.24,1922.13,1919.89,1921.55,2924,26,0
2388,2023-09-21 17:30:00,1921.56,1923.68,1919.73,1919.78,2620,26,0
2389,2023-09-21 17:45:00,1919.79,1920.93,1918.51,1920.04,2495,26,0
2390,2023-09-21 18:00:00,1920.04,1921.17,1918.67,1919.68,1926,26,0
2391,2023-09-21 18:15:00,1919.7,1919.7,1917.54,1917.55,1699,27,0
2392,2023-09-21 18:30:00,1917.55,1919.07,1917.4,1917.96,1620,26,0
2393,2023-09-21 18:45:00,1917.93,1918.47,1917.07,1917.36,1281,26,0
2394,2023-09-21 19:00:00,1917.37,1918.29,1916.27,1916.91,1137,26,0
2395,2023-09-21 19:15:00,1916.89,1918.4,1916.53,1918.03,969,26,0
2396,2023-09-21 19:30:00,1918.02,1918.86,1917.77,1918.15,835,26,0
2397,2023-09-21 19:45:00,1918.16,1919.81,1918.11,1919.39,910,26,0
2398,2023-09-21 20:00:00,1919.38,1919.87,1919.04,1919.35,1011,26,0
2399,2023-09-21 20:15:00,1919.35,1919.84,1918.57,1919.81,1167,27,0
2400,2023-09-21 20:30:00,1919.8,1920.58,1919.6,1919.93,652,26,0
2401,2023-09-21 20:45:00,1919.93,1921.13,1919.82,1920.32,693,26,0
2402,2023-09-21 21:00:00,1920.32,1920.52,1919.83,1919.98,819,27,0
2403,2023-09-21 21:15:00,1919.97,1920.53,1919.45,1920.3,509,27,0
2404,2023-09-21 21:30:00,1920.28,1921.12,1920.19,1921.12,579,26,0
2405,2023-09-21 21:45:00,1921.12,1921.16,1919.71,1919.75,776,26,0
2406,2023-09-21 22:00:00,1919.74,1920.64,1919.43,1920.63,583,27,0
2407,2023-09-21 22:15:00,1920.63,1920.89,1920.35,1920.51,481,26,0
2408,2023-09-21 22:30:00,1920.46,1921.02,1920.18,1920.68,530,26,0
2409,2023-09-21 22:45:00,1920.67,1920.77,1919.21,1919.69,856,26,0
